CustomerId,prediction
4,1.0
5,1.0
7,1.0
8,0.0
15,0.0
19,1.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,1.0
29,0.0
34,1.0
36,1.0
44,0.0
52,0.0
53,0.0
55,1.0
59,1.0
77,0.0
80,1.0
87,1.0
92,0.0
93,1.0
104,0.0
108,0.0
118,0.0
119,0.0
125,0.0
127,0.0
129,1.0
137,0.0
138,1.0
140,1.0
153,0.0
155,1.0
162,0.0
171,0.0
178,0.0
181,1.0
183,0.0
186,0.0
187,1.0
189,0.0
190,0.0
192,0.0
200,1.0
205,1.0
213,0.0
223,1.0
230,0.0
236,0.0
244,1.0
250,1.0
252,1.0
253,0.0
262,0.0
269,0.0
270,0.0
272,0.0
274,0.0
281,0.0
283,0.0
284,1.0
292,0.0
296,1.0
297,0.0
298,0.0
301,0.0
312,1.0
317,1.0
318,0.0
345,0.0
353,1.0
356,0.0
372,1.0
381,1.0
386,0.0
400,1.0
405,1.0
408,1.0
413,0.0
419,0.0
431,1.0
434,0.0
439,0.0
447,0.0
449,0.0
450,0.0
457,0.0
460,1.0
461,1.0
467,0.0
472,0.0
479,1.0
484,0.0
493,1.0
496,1.0
499,1.0
501,0.0
517,1.0
533,0.0
543,0.0
544,0.0
550,0.0
553,0.0
554,0.0
569,0.0
572,1.0
579,0.0
587,1.0
589,0.0
590,0.0
595,0.0
596,1.0
599,1.0
612,0.0
616,0.0
624,0.0
632,1.0
644,0.0
651,0.0
654,0.0
656,0.0
660,0.0
662,1.0
663,0.0
664,0.0
665,0.0
668,0.0
679,0.0
684,0.0
685,0.0
686,0.0
696,1.0
697,1.0
703,1.0
705,1.0
706,0.0
710,0.0
711,0.0
719,1.0
722,1.0
726,1.0
728,1.0
731,0.0
733,1.0
734,0.0
736,0.0
746,1.0
749,1.0
750,1.0
758,1.0
763,1.0
772,0.0
777,0.0
778,0.0
783,0.0
785,1.0
788,0.0
794,0.0
803,0.0
813,0.0
816,0.0
822,0.0
823,0.0
827,0.0
828,0.0
829,0.0
837,0.0
841,0.0
845,0.0
846,1.0
847,1.0
857,0.0
858,0.0
860,0.0
864,0.0
868,0.0
869,1.0
870,1.0
875,1.0
878,0.0
883,0.0
884,0.0
896,1.0
903,0.0
906,0.0
910,0.0
925,1.0
929,0.0
931,1.0
934,1.0
938,0.0
941,0.0
944,0.0
945,0.0
946,1.0
947,0.0
954,1.0
960,0.0
966,0.0
969,0.0
977,0.0
978,0.0
980,1.0
985,0.0
990,1.0
996,1.0
997,0.0
1000,0.0
1002,0.0
1010,1.0
1013,1.0
1018,0.0
1045,0.0
1046,1.0
1049,1.0
1051,1.0
1060,1.0
1073,1.0
1083,0.0
1107,0.0
1112,0.0
1117,1.0
1126,1.0
1128,0.0
1136,0.0
1147,1.0
1150,0.0
1156,1.0
1161,0.0
1169,1.0
1184,0.0
1185,1.0
1187,0.0
1188,0.0
1189,1.0
1194,1.0
1195,1.0
1204,0.0
1221,1.0
1223,0.0
1226,0.0
1234,1.0
